"Temperature(Years), created by Plot Digitizer, 2.6.8",,,,,,,,
"Date: 14/11/18, 17:42:35",,,,,,,,
,,,,,,,,
,,,,,,,,
Year,Instrumental-temperature,Chironomid-inferred,,,,,,
1864,12.0169,11.2981,,,,,,
1866,9.18393,10.2833,,,,,,
1868,10.4841,10.484144,,,,,,
1870,10.019,11.0973,,,,,,
1872,9.56448,10.8118,,,,,,
1874,11.0021,12.7146,,,,,,
1876,11.0338,11.4038,,,,,,
1878,9.76533,10.2093,,,,,,
1880,9.25793,9.51163,,,,,,
1883,9.64905,9.78647,,,,,,
1885,11.0444,11.7949,,,,,,
1887,10.0085,11.0021,,,,,,
1888,8.26427,8.40169,,,,,,
1890,8.45455,8.39112,,,,,,
1892,9.31078,10.3996,,,,,,
1894,11.1184,11.0973,,,,,,
1896,9.17336,10.7061,,,,,,
1898,9.7019,10.3044,,,,,,
1900,9.89218,11.4989,,,,,,
1901,10.2516,10.093,,,,,,
1903,11.203,11.8161,,,,,,
1905,10.167,10.6956,,,,,,
1909,8.15856,9.00423,,,,,,
1912,9.7759,9.99789,,,,,,
1914,9.05708,10.1987,,,,,,
1917,10.5793,10.1882,,,,,,
1919,9.91332,9.91332,,,,,,
1921,11.9112,12.2072,,,,,,
1923,12.5137,12.1015,,,,,,
1925,10.1036,10.1036,,,,,,
1928,10.2199,12.7886,,,,,,
1930,10.1459,11.4884,,,,,,
1931,10.9281,9.07822,,,,,,
1932,9.47463,10.1089,,,,,,
1933,10.3388,10.9096,,,,,,
1934,10.87,11.2981,,,,,,
1935,10.5449,10.5132,,,,,,
1936,7.42918,9.91068,,,,,,
1937,10.5925,10.8145,,,,,,
1938,10.0375,10.0137,,,,,,
1939,9.4667,9.87896,,,,,,
1940,9.76797,9.783827,,,,,,
1941,11.0127,11.084,,,,,,
1942,11.0603,10.3943,,,,,,
1943,12.4873,11.5914,,,,,,
1944,9.43499,11.5359,,,,,,
1945,9.89482,11.5756,,,,,,
1946,11.9244,11.306,,,,,,
1947,11.5122,11.1871,,,,,,
1948,8.33298,7.31025,,,,,,
1949,12.7093,11.0682,,,,,,
1950,10.6242,12.0988,,,,,,
1952,10.8858,12.6221,,,,,,
1953,9.72833,10.6004,,,,,,
1955,10.5608,10.7035,,,,,,
1956,10.093,9.98996,,,,,,
1957,10.2199,10.0058,,,,,,
1958,10.4022,10.7035,,,,,,
1961,9.87896,10.2119,,,,,,
1962,10.6004,11.9086,,,,,,
1964,10.2912,11.203,,,,,,
1965,9.07822,8.80074,,,,,,
1967,10.3071,10.4022,,,,,,
1969,10.3705,10.9017,,,,,,
1970,9.60941,9.80761,,,,,,
1973,9.54598,9.80761,,,,,,
1976,9.59355,10.204,,,,,,
1977,8.61839,9.30814,,,,,,
1979,8.99894,10.101,,,,,,
1980,8.72146,8.71353,,,,,,
1982,9.28436,9.28436,,,,,,
1983,11.3377,12.1068,,,,,,
1984,10.7511,10.6004,,,,,,
1985,11.2585,11.5122,,,,,,
1987,9.08615,11.0127,,,,,,
1989,10.3547,11.2743,,,,,,
1990,9.25264,11.5994,,,,,,
1992,11.2902,11.5201,,,,,,
1993,9.88689,9.87896,,,,,,
1995,10.4022,10.5053,,,,,,
1997,11.0365,11.7104,,,,,,
1998,11.4567,11.414376,,,,,,
2001,10.4894,12.305,,,,,,
